Date,Open,High,Low,Close,Adj Close,Volume
2009-11-10,10247.0,10247.0,10247.0,10247.0,10247.0,0
2009-11-11,10291.2998046875,10291.2998046875,10291.2998046875,10291.2998046875,10291.2998046875,0
2009-11-12,10197.5,10197.5,10197.5,10197.5,10197.5,0
2009-11-13,10270.5,10270.5,10270.5,10270.5,10270.5,0
2009-11-16,10407.0,10407.0,10407.0,10407.0,10407.0,0
2009-11-17,10437.400390625,10437.400390625,10437.400390625,10437.400390625,10437.400390625,0
2009-11-18,10426.2998046875,10426.2998046875,10426.2998046875,10426.2998046875,10426.2998046875,0
2009-11-19,10332.400390625,10332.400390625,10332.400390625,10332.400390625,10332.400390625,0
2009-11-20,10318.2001953125,10318.2001953125,10318.2001953125,10318.2001953125,10318.2001953125,0
2009-11-23,10451.0,10451.0,10451.0,10451.0,10451.0,0
2009-11-24,10433.7001953125,10433.7001953125,10433.7001953125,10433.7001953125,10433.7001953125,0
2009-11-25,10464.400390625,10464.400390625,10464.400390625,10464.400390625,10464.400390625,0
2009-11-27,10309.900390625,10309.900390625,10309.900390625,10309.900390625,10309.900390625,0
2009-11-30,10344.7998046875,10344.7998046875,10344.7998046875,10344.7998046875,10344.7998046875,0
2009-12-01,10471.599609375,10471.599609375,10471.599609375,10471.599609375,10471.599609375,0
2009-12-02,10452.7001953125,10452.7001953125,10452.7001953125,10452.7001953125,10452.7001953125,0
2009-12-03,10366.2001953125,10366.2001953125,10366.2001953125,10366.2001953125,10366.2001953125,0
2009-12-04,10388.900390625,10388.900390625,10388.900390625,10388.900390625,10388.900390625,0
2009-12-07,10390.099609375,10390.099609375,10390.099609375,10390.099609375,10390.099609375,0
2009-12-08,10286.0,10286.0,10286.0,10286.0,10286.0,0
2009-12-09,10337.0,10337.0,10337.0,10337.0,10337.0,0
2009-12-10,10405.7998046875,10405.7998046875,10405.7998046875,10405.7998046875,10405.7998046875,0
2009-12-11,10471.5,10471.5,10471.5,10471.5,10471.5,0
2009-12-14,10501.0,10501.0,10501.0,10501.0,10501.0,0
2009-12-15,10452.0,10452.0,10452.0,10452.0,10452.0,0
2009-12-16,10441.099609375,10441.099609375,10441.099609375,10441.099609375,10441.099609375,0
2009-12-17,10308.2998046875,10308.2998046875,10308.2998046875,10308.2998046875,10308.2998046875,0
2009-12-18,10328.900390625,10328.900390625,10328.900390625,10328.900390625,10328.900390625,0
2009-12-21,10414.099609375,10414.099609375,10414.099609375,10414.099609375,10414.099609375,0
2009-12-22,10464.900390625,10464.900390625,10464.900390625,10464.900390625,10464.900390625,0
2009-12-23,10466.400390625,10466.400390625,10466.400390625,10466.400390625,10466.400390625,0
2009-12-24,10520.099609375,10520.099609375,10520.099609375,10520.099609375,10520.099609375,0
2009-12-28,10547.099609375,10547.099609375,10547.099609375,10547.099609375,10547.099609375,0
2009-12-29,10545.400390625,10545.400390625,10545.400390625,10545.400390625,10545.400390625,0
2009-12-30,10548.5,10548.5,10548.5,10548.5,10548.5,0
2009-12-31,10428.0,10428.0,10428.0,10428.0,10428.0,0
2010-01-04,10584.0,10584.0,10584.0,10584.0,10584.0,0
2010-01-05,10572.0,10572.0,10572.0,10572.0,10572.0,0
2010-01-06,10573.7001953125,10573.7001953125,10573.7001953125,10573.7001953125,10573.7001953125,0
2010-01-07,10606.900390625,10606.900390625,10606.900390625,10606.900390625,10606.900390625,0
2010-01-08,10618.2001953125,10618.2001953125,10618.2001953125,10618.2001953125,10618.2001953125,0
2010-01-11,10664.0,10664.0,10664.0,10664.0,10664.0,0
2010-01-12,10627.2998046875,10627.2998046875,10627.2998046875,10627.2998046875,10627.2998046875,0
2010-01-13,10680.7998046875,10680.7998046875,10680.7998046875,10680.7998046875,10680.7998046875,0
2010-01-14,10710.5,10710.5,10710.5,10710.5,10710.5,0
2010-01-15,10609.7001953125,10609.7001953125,10609.7001953125,10609.7001953125,10609.7001953125,0
2010-01-19,10725.400390625,10725.400390625,10725.400390625,10725.400390625,10725.400390625,0
2010-01-20,10603.2001953125,10603.2001953125,10603.2001953125,10603.2001953125,10603.2001953125,0
2010-01-21,10389.900390625,10389.900390625,10389.900390625,10389.900390625,10389.900390625,0
2010-01-22,10173.0,10173.0,10173.0,10173.0,10173.0,0
2010-01-25,10196.900390625,10196.900390625,10196.900390625,10196.900390625,10196.900390625,0
2010-01-26,10194.2998046875,10194.2998046875,10194.2998046875,10194.2998046875,10194.2998046875,0
2010-01-27,10236.2001953125,10236.2001953125,10236.2001953125,10236.2001953125,10236.2001953125,0
2010-01-28,10120.5,10120.5,10120.5,10120.5,10120.5,0
2010-01-29,10067.2998046875,10067.2998046875,10067.2998046875,10067.2998046875,10067.2998046875,0
2010-02-01,10185.5,10185.5,10185.5,10185.5,10185.5,0
2010-02-02,10296.7998046875,10296.7998046875,10296.7998046875,10296.7998046875,10296.7998046875,0
2010-02-03,10270.5,10270.5,10270.5,10270.5,10270.5,0
2010-02-04,10002.2001953125,10002.2001953125,10002.2001953125,10002.2001953125,10002.2001953125,0
2010-02-05,10012.2001953125,10012.2001953125,10012.2001953125,10012.2001953125,10012.2001953125,0
2010-02-08,9908.3896484375,9908.3896484375,9908.3896484375,9908.3896484375,9908.3896484375,0
2010-02-09,10058.599609375,10058.599609375,10058.599609375,10058.599609375,10058.599609375,0
2010-02-10,10038.400390625,10038.400390625,10038.400390625,10038.400390625,10038.400390625,0
2010-02-11,10144.2001953125,10144.2001953125,10144.2001953125,10144.2001953125,10144.2001953125,0
2010-02-12,10099.099609375,10099.099609375,10099.099609375,10099.099609375,10099.099609375,0
2010-02-16,10268.7998046875,10268.7998046875,10268.7998046875,10268.7998046875,10268.7998046875,0
2010-02-17,10309.2001953125,10309.2001953125,10309.2001953125,10309.2001953125,10309.2001953125,0
2010-02-18,10392.900390625,10392.900390625,10392.900390625,10392.900390625,10392.900390625,0
2010-02-19,10402.2998046875,10402.2998046875,10402.2998046875,10402.2998046875,10402.2998046875,0
2010-02-22,10383.400390625,10383.400390625,10383.400390625,10383.400390625,10383.400390625,0
2010-02-23,10282.400390625,10282.400390625,10282.400390625,10282.400390625,10282.400390625,0
2010-02-24,10374.2001953125,10374.2001953125,10374.2001953125,10374.2001953125,10374.2001953125,0
2010-02-25,10321.0,10321.0,10321.0,10321.0,10321.0,0
2010-02-26,10325.2998046875,10325.2998046875,10325.2998046875,10325.2998046875,10325.2998046875,0
2010-03-01,10403.7998046875,10403.7998046875,10403.7998046875,10403.7998046875,10403.7998046875,0
2010-03-02,10406.0,10406.0,10406.0,10406.0,10406.0,0
2010-03-03,10396.7998046875,10396.7998046875,10396.7998046875,10396.7998046875,10396.7998046875,0
2010-03-04,10444.099609375,10444.099609375,10444.099609375,10444.099609375,10444.099609375,0
2010-03-05,10566.2001953125,10566.2001953125,10566.2001953125,10566.2001953125,10566.2001953125,0
2010-03-08,10552.5,10552.5,10552.5,10552.5,10552.5,0
2010-03-09,10564.400390625,10564.400390625,10564.400390625,10564.400390625,10564.400390625,0
2010-03-10,10567.2998046875,10567.2998046875,10567.2998046875,10567.2998046875,10567.2998046875,0
2010-03-11,10611.7998046875,10611.7998046875,10611.7998046875,10611.7998046875,10611.7998046875,0
2010-03-12,10624.7001953125,10624.7001953125,10624.7001953125,10624.7001953125,10624.7001953125,0
2010-03-15,10642.2001953125,10642.2001953125,10642.2001953125,10642.2001953125,10642.2001953125,0
2010-03-16,10686.0,10686.0,10686.0,10686.0,10686.0,0
2010-03-17,10733.7001953125,10733.7001953125,10733.7001953125,10733.7001953125,10733.7001953125,0
2010-03-18,10779.2001953125,10779.2001953125,10779.2001953125,10779.2001953125,10779.2001953125,0
2010-03-19,10742.0,10742.0,10742.0,10742.0,10742.0,0
2010-03-22,10785.900390625,10785.900390625,10785.900390625,10785.900390625,10785.900390625,0
2010-03-23,10888.7998046875,10888.7998046875,10888.7998046875,10888.7998046875,10888.7998046875,0
2010-03-24,10836.2001953125,10836.2001953125,10836.2001953125,10836.2001953125,10836.2001953125,0
2010-03-25,10841.2001953125,10841.2001953125,10841.2001953125,10841.2001953125,10841.2001953125,0
2010-03-26,10850.400390625,10850.400390625,10850.400390625,10850.400390625,10850.400390625,0
2010-03-29,10895.900390625,10895.900390625,10895.900390625,10895.900390625,10895.900390625,0
2010-03-30,10907.400390625,10907.400390625,10907.400390625,10907.400390625,10907.400390625,0
2010-03-31,10856.599609375,10856.599609375,10856.599609375,10856.599609375,10856.599609375,0
2010-04-01,10927.099609375,10927.099609375,10927.099609375,10927.099609375,10927.099609375,0
2010-04-05,10973.5,10973.5,10973.5,10973.5,10973.5,0
2010-04-06,10970.0,10970.0,10970.0,10970.0,10970.0,0
2010-04-07,10897.5,10897.5,10897.5,10897.5,10897.5,0
2010-04-08,10927.099609375,10927.099609375,10927.099609375,10927.099609375,10927.099609375,0
2010-04-09,10997.2998046875,10997.2998046875,10997.2998046875,10997.2998046875,10997.2998046875,0
2010-04-12,11006.0,11006.0,11006.0,11006.0,11006.0,0
2010-04-13,11019.400390625,11019.400390625,11019.400390625,11019.400390625,11019.400390625,0
2010-04-14,11123.099609375,11123.099609375,11123.099609375,11123.099609375,11123.099609375,0
2010-04-15,11144.599609375,11144.599609375,11144.599609375,11144.599609375,11144.599609375,0
2010-04-16,11018.7001953125,11018.7001953125,11018.7001953125,11018.7001953125,11018.7001953125,0
2010-04-19,11092.0,11092.0,11092.0,11092.0,11092.0,0
2010-04-20,11117.099609375,11117.099609375,11117.099609375,11117.099609375,11117.099609375,0
2010-04-21,11124.900390625,11124.900390625,11124.900390625,11124.900390625,11124.900390625,0
2010-04-22,11134.2998046875,11134.2998046875,11134.2998046875,11134.2998046875,11134.2998046875,0
2010-04-23,11204.2998046875,11204.2998046875,11204.2998046875,11204.2998046875,11204.2998046875,0
